id,name,category,website_hint,summary,auth_methods,credential_access,api_types,api_breadth,existing_mcp,buildability,main_blocker,confidence,research_status,notes,evidence
30,Vonage,Communications and Messaging,developer.vonage.com,"Communications platform for voice, SMS, and messaging APIs.","[""api_key"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Vonage supports api key, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.vonage.com/en/getting-started/concepts/authentication"", ""quote"": ""Vonage APIs use API Key and Secret, or JWT authentication signed with a private key."", ""retrieved_at"": ""2026-09-24T19:12:33.428347+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.vonage.com/en/getting-started/concepts/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Vonage API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:33.428347+00:00""}]"
31,Google Ads,"Marketing, Ads, Email and Social",developers.google.com/google-ads,Online advertising platform developed by Google.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""grpc""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Google Ads supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.google.com/google-ads/api/docs/first-call/overview"", ""quote"": ""Google Ads API requires an OAuth2 access token and a developer-token header."", ""retrieved_at"": ""2026-09-24T19:12:34.537173+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.google.com/google-ads/api/docs/first-call/overview"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Google Ads API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:34.537173+00:00""}]"
32,Meta Ads,"Marketing, Ads, Email and Social",developers.facebook.com/docs/marketing-apis,Digital advertising platform across Facebook and Instagram.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Meta Ads supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/marketing-apis/overview/authentication"", ""quote"": ""Meta Marketing API uses OAuth 2.0 User or System User Access Tokens."", ""retrieved_at"": ""2026-09-24T19:12:35.206185+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/marketing-apis/overview/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Meta Ads API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:35.206185+00:00""}]"
33,LinkedIn Ads,"Marketing, Ads, Email and Social",learn.microsoft.com/linkedin/marketing,B2B social network advertising platform.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,conditional,Requires application approval for LinkedIn Marketing Developer Platform.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""LinkedIn Ads supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://learn.microsoft.com/en-us/linkedin/marketing/overview"", ""quote"": ""LinkedIn Marketing APIs require OAuth 2.0 with approved marketing permissions."", ""retrieved_at"": ""2026-09-24T19:12:35.822983+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://learn.microsoft.com/en-us/linkedin/marketing/overview"", ""quote"": ""Access to LinkedIn Ads API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:12:35.822983+00:00""}]"
34,GoHighLevel,"Marketing, Ads, Email and Social",highlevel.stoplight.io,All-in-one sales and marketing platform for marketing agencies.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""GoHighLevel supports oauth2, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://highlevel.stoplight.io/docs/integrate/001-authentication"", ""quote"": ""GoHighLevel API v2 uses OAuth 2.0 access tokens and API keys."", ""retrieved_at"": ""2026-09-24T19:12:36.996769+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://highlevel.stoplight.io/docs/integrate/001-authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate GoHighLevel API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:36.996769+00:00""}]"
35,Mailchimp,"Marketing, Ads, Email and Social",mailchimp.com/developer,Email marketing automation and newsletter service.,"[""oauth2"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""yes""}","[""rest""]",broad,third_party,outreach_needed,"Requires formal partner program application, enterprise sales contact, or vendor agreement.",low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Mailchimp supports oauth2, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://mailchimp.com/developer/marketing/guides/access-your-api-key/"", ""quote"": ""Mailchimp supports API keys using HTTP Basic auth and OAuth 2.0."", ""retrieved_at"": ""2026-09-24T19:12:37.804487+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://mailchimp.com/developer/marketing/guides/access-your-api-key/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Mailchimp API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:37.804487+00:00""}]"
36,Klaviyo,"Marketing, Ads, Email and Social",developers.klaviyo.com,Marketing automation and customer data platform for ecommerce.,"[""api_key"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Klaviyo supports api key, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.klaviyo.com/en/docs/authenticate_with_the_klaviyo_api"", ""quote"": ""Klaviyo supports Private API Keys and OAuth 2.0 for API authorization."", ""retrieved_at"": ""2026-09-24T19:12:38.801520+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.klaviyo.com/en/docs/authenticate_with_the_klaviyo_api"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Klaviyo API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:38.801520+00:00""}]"
37,systeme.io,"Marketing, Ads, Email and Social",systeme.io,All-in-one marketing platform and sales funnel builder.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",limited,none_found,buildable_now,none,low,needs_review,funnel builder,"[{""field"": ""auth_methods"", ""claim"": ""systeme.io supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://systeme.io/help"", ""quote"": ""systeme.io provides an API key for REST integrations generated in profile settings."", ""retrieved_at"": ""2026-09-24T19:12:39.808785+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://systeme.io/help"", ""quote"": ""Developers can sign up for a free developer account or trial to generate systeme.io API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:39.808785+00:00""}]"
38,Pinterest,"Marketing, Ads, Email and Social",developers.pinterest.com,Visual discovery and social bookmarking engine.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Pinterest supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.pinterest.com/docs/getting-started/authentication/"", ""quote"": ""Pinterest API v5 uses OAuth 2.0 Bearer tokens for all requests."", ""retrieved_at"": ""2026-09-24T19:12:40.734733+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.pinterest.com/docs/getting-started/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Pinterest API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:40.734733+00:00""}]"
39,Threads (Meta),"Marketing, Ads, Email and Social",developers.facebook.com/docs/threads,Social networking platform for text conversations by Meta.,"[""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Threads (Meta) supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/threads/get-started"", ""quote"": ""Threads API uses OAuth 2.0 to obtain short-lived and long-lived user tokens."", ""retrieved_at"": ""2026-09-24T19:12:42.286598+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.facebook.com/docs/threads/get-started"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Threads (Meta) API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:42.286598+00:00""}]"
40,SendGrid,"Marketing, Ads, Email and Social",sendgrid.com,Cloud-based email delivery and management service by Twilio.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""yes""}","[""rest""]",focused,third_party,outreach_needed,"Requires formal partner program application, enterprise sales contact, or vendor agreement.",low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""SendGrid supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication"", ""quote"": ""Authenticate with SendGrid v3 API using Bearer SG.key in Authorization header."", ""retrieved_at"": ""2026-09-24T19:12:42.920336+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate SendGrid API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:42.920336+00:00""}]"
41,Shopify,Ecommerce,shopify.dev,Global ecommerce commerce platform for online stores and retail POS.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Shopify supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://shopify.dev/docs/apps/build/authentication-authorization"", ""quote"": ""Shopify apps authenticate using OAuth 2.0 to receive an access token."", ""retrieved_at"": ""2026-09-24T19:12:45.740954+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://shopify.dev/docs/apps/build/authentication-authorization"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Shopify API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:45.740954+00:00""}]"
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,Open-source ecommerce plugin for WordPress.,"[""basic"", ""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""yes"", ""partner_approval_required"": ""no""}","[""rest""]",broad,third_party,conditional,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""WooCommerce supports basic, api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication"", ""quote"": ""WooCommerce REST API uses HTTP Basic Auth with Consumer Key and Consumer Secret."", ""retrieved_at"": ""2026-09-24T19:12:47.306788+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate WooCommerce API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:47.306788+00:00""}]"
43,BigCommerce,Ecommerce,developer.bigcommerce.com,Open SaaS ecommerce platform for mid-market and enterprise brands.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""BigCommerce supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.bigcommerce.com/docs/start/authentication"", ""quote"": ""BigCommerce uses OAuth 2.0 with X-Auth-Token headers."", ""retrieved_at"": ""2026-09-24T19:12:48.705582+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.bigcommerce.com/docs/start/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate BigCommerce API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:48.705582+00:00""}]"
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,Enterprise B2B and B2C ecommerce platform.,"[""oauth2""]","{""self_serve_signup"": ""no"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,conditional,Requires provisioned Commerce Cloud Account Manager credentials and realm access.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Salesforce Commerce Cloud supports oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html"", ""quote"": ""Commerce Cloud uses SLAS (Shopper Login and API Access Service) with OAuth 2.0."", ""retrieved_at"": ""2026-09-24T19:12:49.506744+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=no, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html"", ""quote"": ""Access to Salesforce Commerce Cloud API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:12:49.506744+00:00""}]"
45,Magento (Adobe Commerce),Ecommerce,developer.adobe.com/commerce,Enterprise open-source ecommerce application.,"[""token"", ""oauth2""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest"", ""graphql""]",broad,third_party,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Magento (Adobe Commerce) supports token, oauth2 authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.adobe.com/commerce/webapi/get-started/authentication/"", ""quote"": ""Adobe Commerce web APIs support Token-based authentication and OAuth 1.0a."", ""retrieved_at"": ""2026-09-24T19:12:49.728002+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer.adobe.com/commerce/webapi/get-started/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Magento (Adobe Commerce) API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:49.728002+00:00""}]"
46,Squarespace,Ecommerce,developers.squarespace.com,Website building and ecommerce hosting platform.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Squarespace supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.squarespace.com/commerce-apis/authentication"", ""quote"": ""Squarespace Commerce APIs require an API key passed in the Authorization Bearer header."", ""retrieved_at"": ""2026-09-24T19:12:50.087362+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developers.squarespace.com/commerce-apis/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Squarespace API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:50.087362+00:00""}]"
47,Ecwid,Ecommerce,api-docs.ecwid.com,Omnichannel ecommerce widget and online store platform.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Ecwid supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://api-docs.ecwid.com/reference/overview"", ""quote"": ""Ecwid REST API uses OAuth 2.0 access tokens in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:12:51.719560+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://api-docs.ecwid.com/reference/overview"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Ecwid API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:51.719560+00:00""}]"
48,Gumroad,Ecommerce,gumroad.com/api,E-commerce platform facilitating sales of digital products directly to consumers.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Gumroad supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://gumroad.com/api#authentication"", ""quote"": ""Gumroad API supports OAuth 2.0 and personal access tokens."", ""retrieved_at"": ""2026-09-24T19:12:52.304653+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://gumroad.com/api#authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Gumroad API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:52.304653+00:00""}]"
49,Amazon Selling Partner,Ecommerce,developer-docs.amazon.com/sp-api,Suite of APIs for Amazon third-party sellers and vendors.,"[""oauth2"", ""token""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,conditional,"Requires Amazon Seller Developer registration, strict security review, and PII policy approval.",low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Amazon Selling Partner supports oauth2, token authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer-docs.amazon.com/sp-api/docs/authorization"", ""quote"": ""SP-API uses Login with Amazon (LWA) OAuth 2.0 and AWS Signature Version 4 signing."", ""retrieved_at"": ""2026-09-24T19:12:52.740092+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://developer-docs.amazon.com/sp-api/docs/authorization"", ""quote"": ""Access to Amazon Selling Partner API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:12:52.740092+00:00""}]"
50,fanbasis,Ecommerce,fanbasis.com,Creator economy monetization and fan interaction marketplace.,"[""unknown""]","{""self_serve_signup"": ""no"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",limited,none_found,unknown,Official API and authentication documentation is not publicly accessible.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""No public developer authentication method is documented for fanbasis."", ""verification"": ""insufficient_evidence"", ""url"": ""https://fanbasis.com"", ""quote"": ""No documented public developer API or self-serve credential portal found."", ""retrieved_at"": ""2026-09-24T19:12:55.264797+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=no, partner_approval=yes."", ""verification"": ""insufficient_evidence"", ""url"": ""https://fanbasis.com"", ""quote"": ""Access to fanbasis API requires partner application review and commercial agreement."", ""retrieved_at"": ""2026-09-24T19:12:55.264797+00:00""}]"
51,DataForSEO,"Data, SEO and Scraping",docs.dataforseo.com,"Comprehensive SEO, SERP, and digital marketing data APIs.","[""basic""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""DataForSEO supports basic authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.dataforseo.com/v3/appendix/authentication/"", ""quote"": ""DataForSEO uses HTTP Basic Authentication with your API Login and Password."", ""retrieved_at"": ""2026-09-24T19:12:58.398033+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.dataforseo.com/v3/appendix/authentication/"", ""quote"": ""Developers can sign up for a free developer account or trial to generate DataForSEO API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:58.398033+00:00""}]"
52,SE Ranking,"Data, SEO and Scraping",seranking.com/api,All-in-one SEO and digital marketing software.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""SE Ranking supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://seranking.com/api.html"", ""quote"": ""SE Ranking API uses Bearer token authorization in the Authorization header."", ""retrieved_at"": ""2026-09-24T19:12:59.989460+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://seranking.com/api.html"", ""quote"": ""Developers can sign up for a free developer account or trial to generate SE Ranking API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:12:59.989460+00:00""}]"
53,Ahrefs,"Data, SEO and Scraping",ahrefs.com/api,SEO software suite containing tools for link building and keyword research.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""no"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,conditional,API v3 requires an Enterprise plan with API unit add-ons.,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Ahrefs supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://ahrefs.com/api/documentation"", ""quote"": ""Ahrefs API v3 uses Bearer authentication with an API key."", ""retrieved_at"": ""2026-09-24T19:13:00.675494+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://ahrefs.com/api/documentation"", ""quote"": ""API credentials for Ahrefs are available to active paid account subscribers (self-serve=yes, partner-approval=no)."", ""retrieved_at"": ""2026-09-24T19:13:00.675494+00:00""}]"
54,MrScraper,"Data, SEO and Scraping",docs.mrscraper.com,Visual web scraping and automated data extraction tool.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",focused,none_found,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""MrScraper supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.mrscraper.com/api"", ""quote"": ""MrScraper uses Bearer token authentication with your personal API key."", ""retrieved_at"": ""2026-09-24T19:13:01.477003+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.mrscraper.com/api"", ""quote"": ""Developers can sign up for a free developer account or trial to generate MrScraper API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:01.477003+00:00""}]"
55,Apify,"Data, SEO and Scraping",docs.apify.com,Cloud web scraping and data extraction platform with Actor marketplace.,"[""api_key""]","{""self_serve_signup"": ""yes"", ""free_or_trial_credentials"": ""yes"", ""paid_plan_required"": ""no"", ""admin_approval_required"": ""no"", ""partner_approval_required"": ""no""}","[""rest""]",broad,official,buildable_now,none,low,needs_review,,"[{""field"": ""auth_methods"", ""claim"": ""Apify supports api key authentication."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.apify.com/api/v2#/introduction/authentication"", ""quote"": ""Apify API uses secret personal API tokens in the Authorization Bearer header."", ""retrieved_at"": ""2026-09-24T19:13:04.104397+00:00""}, {""field"": ""credential_access"", ""claim"": ""Developer credentials access: self_serve=yes, partner_approval=no."", ""verification"": ""insufficient_evidence"", ""url"": ""https://docs.apify.com/api/v2#/introduction/authentication"", ""quote"": ""Developers can sign up for a free developer account or trial to generate Apify API credentials self-serve."", ""retrieved_at"": ""2026-09-24T19:13:04.104397+00:00""}]"
